s_id,t_id
319,389
162,390
313,391
237,392
183,393
349,394
256,395
287,396
28,397
215,398
145,399
287,400
163,401
14,402
433,403
424,404
370,405
327,406
464,407
362,408
59,409
346,410
365,411
133,412
111,413
42,414
419,415
210,416
489,417
329,418
480,419
59,420
19,421
319,422
197,423
150,424
147,425
215,426
457,427
167,428
43,429
413,430
372,431
392,432
310,433
228,434
317,435
302,436
66,437
395,438
307,439
426,440
206,441
413,442
124,443
58,444
114,445
212,446
398,447
315,448
489,449
410,450
240,451
231,452
60,453
155,454
374,455
496,456
207,457
151,458
14,459
333,460
453,461
296,462
42,463
150,464
151,465
151,466
414,467
441,468
459,469
357,470
432,471
58,472
181,473
6,474
89,475
436,476
301,477
129,478
85,479
178,480
108,481
239,482
500,483
123,484
313,485
343,486
290,487
173,488
423,489
425,490
458,491
176,492
89,493
48,494
231,495
140,496
398,497
395,498
398,499
262,500
61,501
5,502
160,503
142,504
53,505
379,506
487,507
116,508
132,509
279,510
183,511
278,512
254,513
440,514
352,515
95,516
244,517
18,518
49,519
14,520
322,521
412,522
480,523
81,524
323,525
78,526
6,527
421,528
192,529
142,530
391,531
218,532
365,533
170,534
70,535
3,536
414,537
294,538
471,539
62,540
122,541
403,542
315,543
44,544
8,545
181,546
76,547
408,548
364,549
378,550
211,551
216,552
75,553
119,554
7,555
238,556
113,557
41,558
457,559
394,560
209,561
61,562
389,563
74,564
136,565
435,566
452,567
380,568
161,569
3,570
432,571
368,572
131,573
444,574
57,575
202,576
137,577
209,578
155,579
457,580
287,581
9,582
86,583
167,584
205,585
418,586
29,587
439,588
473,589
447,590
319,591
125,592
122,593
250,594
454,595
164,596
290,597
293,598
217,599
236,600
312,601
168,602
404,603
281,604
65,605
183,606
420,607
196,608
287,609
384,610
165,611
194,612
63,613
219,614
301,615
494,616
374,617
380,618
47,619
181,620
473,621
219,622
149,623
407,624
103,625
443,626
83,627
144,628
244,629
38,630
349,631
463,632
441,633
139,634
240,635
499,636
42,637
197,638
497,639
326,640
133,641
335,642
441,643
167,644
100,645
140,646
309,647
380,648
321,649
73,650
433,651
403,652
117,653
284,654
418,655
441,656
119,657
174,658
204,659
484,660
166,661
167,662
193,663
36,664
46,665
424,666
262,667
189,668
309,669
436,670
490,671
314,672
311,673
91,674
275,675
49,676
176,677
179,678
492,679
17,680
430,681
69,682
287,683
416,684
69,685
387,686
44,687
185,688
134,689
137,690
349,691
134,692
104,693
93,694
254,695
412,696
35,697
335,698
11,699
329,700
465,701
408,702
263,703
426,704
88,705
24,706
336,707
171,708
101,709
326,710
215,711
422,712
290,713
473,714
20,715
387,716
434,717
478,718
29,719
382,720
72,721
339,722
227,723
332,724
307,725
17,726
369,727
273,728
426,729
500,730
425,731
111,732
10,733
165,734
475,735
499,736
153,737
414,738
453,739
150,740
293,741
361,742
86,743
343,744
492,745
266,746
476,747
120,748
138,749
263,750
106,751
36,752
261,753
135,754
3,755
276,756
480,757
161,758
424,759
483,760
322,761
243,762
84,763
162,764
270,765
388,766
132,767
456,768
138,769
34,770
216,771
109,772
377,773
150,774
465,775
389,776
400,777
146,778
408,779
437,780
138,781
329,782
197,783
372,784
474,785
387,786
399,787
298,788
440,789
486,790
457,791
257,792
346,793
266,794
43,795
306,796
75,797
141,798
358,799
439,800
105,801
39,802
215,803
184,804
29,805
215,806
30,807
263,808
452,809
337,810
68,811
369,812
297,813
127,814
181,815
385,816
250,817
183,818
473,819
30,820
164,821
177,822
255,823
109,824
386,825
355,826
396,827
440,828
16,829
100,830
61,831
181,832
92,833
305,834
437,835
171,836
329,837
463,838
178,839
181,840
89,841
39,842
221,843
194,844
469,845
491,846
355,847
78,848
274,849
100,850
64,851
269,852
178,853
126,854
9,855
60,856
426,857
221,858
178,859
451,860
27,861
377,862
49,863
1,864
135,865
360,866
468,867
264,868
259,869
75,870
325,871
319,872
406,873
414,874
148,875
379,876
70,877
464,878
245,879
489,880
394,881
72,882
399,883
221,884
54,885
207,886
141,887
307,888
401,889
351,890
315,891
365,892
35,893
461,894
86,895
299,896
67,897
346,898
458,899
409,900
131,901
167,902
153,903
96,904
436,905
377,906
212,907
204,908
152,909
443,910
243,911
447,912
375,913
338,914
455,915
382,916
171,917
243,918
436,919
419,920
469,921
494,922
328,923
432,924
421,925
500,926
406,927
195,928
54,929
174,930
278,931
392,932
484,933
246,934
311,935
330,936
196,937
456,938
119,939
425,940
270,941
213,942
85,943
238,944
476,945
236,946
283,947
423,948
426,949
222,950
352,951
485,952
5,953
347,954
294,955
203,956
31,957
86,958
25,959
183,960
420,961
286,962
228,963
376,964
39,965
414,966
273,967
493,968
65,969
31,970
170,971
200,972
195,973
208,974
480,975
273,976
280,977
51,978
466,979
303,980
254,981
197,982
208,983
345,984
328,985
13,986
226,987
29,988
400,989
26,990
293,991
309,992
311,993
494,994
102,995
334,996
242,997
314,998
490,999
257,1000
805,1
848,2
887,3
833,4
915,5
951,6
614,7
918,8
850,9
836,10
958,11
944,12
547,13
528,14
879,15
917,16
886,17
953,18
676,19
731,20
841,21
590,22
628,23
544,24
901,25
711,26
809,27
727,28
839,29
989,30
827,31
897,32
994,33
668,34
647,35
628,36
894,37
614,38
758,39
773,40
796,41
925,42
837,43
595,44
603,45
840,46
670,47
537,48
974,49
851,50
951,51
865,52
511,53
504,54
887,55
927,56
627,57
823,58
775,59
843,60
930,61
584,62
683,63
977,64
591,65
663,66
832,67
990,68
965,69
565,70
557,71
854,72
641,73
783,74
879,75
916,76
784,77
948,78
922,79
884,80
999,81
976,82
713,83
905,84
834,85
652,86
880,87
877,88
796,89
982,90
703,91
673,92
615,93
540,94
769,95
503,96
951,97
827,98
780,99
795,100
574,101
794,102
797,103
711,104
528,105
943,106
611,107
789,108
547,109
597,110
519,111
690,112
858,113
638,114
722,115
848,116
508,117
770,118
628,119
847,120
931,121
642,122
730,123
949,124
970,125
577,126
948,127
779,128
671,129
686,130
864,131
679,132
606,133
547,134
828,135
539,136
655,137
844,138
574,139
992,140
697,141
773,142
537,143
990,144
627,145
970,146
748,147
711,148
731,149
738,150
648,151
596,152
945,153
588,154
761,155
921,156
565,157
781,158
544,159
691,160
811,161
655,162
913,163
867,164
812,165
701,166
713,167
784,168
874,169
772,170
550,171
929,172
980,173
961,174
635,175
744,176
526,177
612,178
856,179
748,180
970,181
591,182
513,183
949,184
872,185
626,186
866,187
988,188
782,189
736,190
903,191
541,192
794,193
869,194
763,195
883,196
961,197
899,198
532,199
571,200
587,201
769,202
589,203
975,204
826,205
576,206
645,207
855,208
972,209
645,210
680,211
865,212
704,213
805,214
728,215
728,216
626,217
514,218
525,219
822,220
970,221
992,222
847,223
593,224
717,225
738,226
647,227
647,228
966,229
729,230
992,231
733,232
977,233
924,234
830,235
643,236
612,237
741,238
501,239
999,240
891,241
697,242
521,243
992,244
886,245
522,246
870,247
543,248
626,249
551,250
521,251
716,252
515,253
512,254
529,255
791,256
765,257
963,258
883,259
699,260
534,261
917,262
670,263
767,264
898,265
926,266
608,267
516,268
508,269
719,270
634,271
699,272
671,273
627,274
989,275
730,276
618,277
564,278
694,279
585,280
630,281
659,282
733,283
531,284
520,285
965,286
667,287
877,288
784,289
962,290
690,291
792,292
792,293
639,294
848,295
653,296
594,297
934,298
513,299
566,300
965,301
902,302
735,303
733,304
807,305
774,306
707,307
552,308
879,309
628,310
991,311
532,312
802,313
852,314
814,315
933,316
718,317
543,318
614,319
827,320
551,321
706,322
948,323
526,324
931,325
528,326
853,327
970,328
574,329
660,330
502,331
507,332
958,333
541,334
805,335
647,336
648,337
694,338
856,339
985,340
819,341
666,342
705,343
824,344
506,345
771,346
575,347
750,348
573,349
867,350
833,351
858,352
679,353
520,354
529,355
865,356
952,357
529,358
893,359
713,360
874,361
957,362
517,363
675,364
970,365
521,366
672,367
843,368
732,369
716,370
988,371
868,372
960,373
634,374
794,375
741,376
639,377
678,378
614,379
653,380
796,381
544,382
796,383
644,384
736,385
711,386
540,387
722,388
907,389
660,390
658,391
513,392
721,393
887,394
896,395
713,396
744,397
834,398
944,399
968,400
527,401
945,402
563,403
682,404
599,405
816,406
742,407
632,408
685,409
563,410
649,411
838,412
921,413
782,414
875,415
620,416
520,417
659,418
711,419
967,420
578,421
611,422
592,423
862,424
911,425
766,426
876,427
671,428
823,429
834,430
709,431
884,432
537,433
710,434
934,435
926,436
760,437
731,438
999,439
758,440
562,441
730,442
529,443
973,444
946,445
598,446
861,447
583,448
920,449
960,450
675,451
765,452
970,453
532,454
989,455
954,456
661,457
577,458
989,459
734,460
643,461
970,462
794,463
532,464
771,465
947,466
831,467
553,468
888,469
774,470
978,471
578,472
560,473
833,474
653,475
536,476
774,477
756,478
866,479
505,480
695,481
594,482
945,483
670,484
585,485
803,486
720,487
785,488
991,489
718,490
678,491
812,492
679,493
505,494
791,495
983,496
766,497
637,498
956,499
543,500
953,501
901,502
696,503
708,504
780,505
794,506
771,507
567,508
921,509
908,510
981,511
860,512
621,513
740,514
708,515
545,516
999,517
617,518
891,519
718,520
953,521
893,522
753,523
659,524
870,525
536,526
905,527
881,528
726,529
542,530
972,531
975,532
828,533
904,534
906,535
544,536
899,537
504,538
735,539
770,540
691,541
779,542
707,543
657,544
663,545
699,546
521,547
639,548
746,549
734,550
847,551
632,552
887,553
728,554
686,555
709,556
535,557
839,558
667,559
831,560
617,561
554,562
785,563
524,564
794,565
920,566
836,567
919,568
575,569
870,570
557,571
838,572
828,573
850,574
744,575
971,576
606,577
504,578
760,579
583,580
550,581
820,582
542,583
919,584
938,585
633,586
613,587
703,588
896,589
572,590
959,591
544,592
703,593
898,594
596,595
660,596
548,597
991,598
766,599
527,600
538,601
684,602
781,603
526,604
579,605
649,606
627,607
719,608
668,609
634,610
623,611
617,612
585,613
731,614
657,615
913,616
605,617
709,618
631,619
800,620
995,621
529,622
823,623
550,624
968,625
829,626
644,627
790,628
816,629
915,630
585,631
675,632
907,633
609,634
873,635
566,636
626,637
859,638
560,639
899,640
738,641
708,642
969,643
994,644
634,645
571,646
720,647
583,648
857,649
943,650
662,651
928,652
840,653
940,654
816,655
826,656
856,657
817,658
737,659
729,660
992,661
826,662
706,663
949,664
859,665
911,666
579,667
571,668
768,669
889,670
757,671
501,672
860,673
704,674
563,675
640,676
736,677
531,678
630,679
814,680
523,681
576,682
555,683
730,684
526,685
789,686
574,687
652,688
587,689
912,690
960,691
758,692
870,693
788,694
726,695
559,696
736,697
946,698
905,699
971,700
964,701
987,702
613,703
616,704
790,705
881,706
689,707
881,708
888,709
676,710
939,711
661,712
821,713
821,714
673,715
668,716
573,717
976,718
751,719
670,720
784,721
721,722
963,723
964,724
762,725
821,726
653,727
875,728
887,729
933,730
950,731
502,732
908,733
603,734
774,735
501,736
783,737
796,738
561,739
865,740
802,741
898,742
590,743
866,744
555,745
839,746
671,747
652,748
535,749
804,750
876,751
747,752
872,753
594,754
735,755
981,756
960,757
790,758
965,759
769,760
736,761
900,762
937,763
974,764
726,765
596,766
863,767
648,768
691,769
550,770
594,771
797,772
616,773
735,774
695,775
574,776
882,777
787,778
694,779
764,780
936,781
611,782
593,783
677,784
577,785
938,786
894,787
678,788
763,789
555,790
954,791
874,792
999,793
661,794
637,795
572,796
754,797
727,798
741,799
540,800
545,801
545,802
768,803
602,804
564,805
825,806
675,807
574,808
653,809
759,810
643,811
875,812
787,813
518,814
691,815
742,816
970,817
739,818
752,819
716,820
990,821
951,822
540,823
619,824
734,825
741,826
682,827
501,828
523,829
507,830
587,831
832,832
869,833
666,834
790,835
889,836
831,837
560,838
899,839
705,840
767,841
958,842
874,843
827,844
831,845
972,846
822,847
916,848
891,849
563,850
850,851
968,852
949,853
639,854
617,855
588,856
964,857
607,858
994,859
813,860
758,861
837,862
740,863
527,864
814,865
838,866
852,867
886,868
740,869
869,870
973,871
754,872
943,873
543,874
723,875
562,876
964,877
969,878
758,879
699,880
862,881
792,882
510,883
612,884
964,885
714,886
944,887
917,888
994,889
834,890
831,891
915,892
929,893
961,894
874,895
848,896
738,897
651,898
878,899
942,900
504,901
616,902
876,903
595,904
996,905
505,906
525,907
901,908
524,909
732,910
681,911
649,912
656,913
629,914
854,915
525,916
752,917
604,918
849,919
532,920
990,921
812,922
591,923
909,924
796,925
794,926
648,927
933,928
704,929
575,930
891,931
739,932
501,933
514,934
731,935
567,936
840,937
999,938
799,939
730,940
832,941
837,942
614,943
537,944
531,945
731,946
550,947
909,948
671,949
589,950
631,951
537,952
571,953
629,954
865,955
979,956
747,957
538,958
727,959
627,960
920,961
591,962
828,963
682,964
939,965
719,966
842,967
928,968
843,969
544,970
526,971
813,972
819,973
809,974
525,975
735,976
626,977
865,978
699,979
830,980
668,981
960,982
775,983
791,984
981,985
818,986
665,987
625,988
822,989
881,990
938,991
779,992
762,993
802,994
967,995
773,996
796,997
794,998
693,999
922,1000
